CustomerID,Age,Marital_Status,Education,Employment_Type,Suburb,City,Province,Location_Type,Customer_Tenure,Annual_Income,Current_Account,Savings_Account,Credit_Card,Personal_Loan,Home_Loan,Vehicle_Loan,Current_Account_Balance,Savings_Account_Balance,Credit_Card_Balance,Personal_Loan_Balance,Home_Loan_Balance,Vehicle_Loan_Balance,Current_Account_Closed_Date,Savings_Account_Closed_Date,Credit_Card_Closed_Date,Personal_Loan_Closed_Date,Home_Loan_Closed_Date,Vehicle_Loan_Closed_Date,Online_Banking_Registered,Mobile_App_Registered,USSD_Registered,Online_Banking_Txns,Mobile_App_Txns,USSD_Txns,Credit_Score,Flag_Product_Mismatch,Flag_Closed_With_Balance,Flag_No_Products,Num_Products,Num_Digital_Channels,Total_Digital_Txns,Num_Prev_Closures,Digitally_Dormant
781,49,Married,Less than matric,Informal trader,Mamelodi,Tshwane,Gauteng,Township,4.5,120356.85,True,False,False,True,True,True,2345.71,0.0,0.0,140906.57,531936.04,434956.0,,,,,,,False,False,True,0.0,0.0,0.0,576.0,False,False,False,4,1,0.0,0,True
782,45,Single,Diploma/Certificate,Part-time employed,Walmer,Gqeberha,Eastern Cape,Suburban,5.6,93857.34,False,True,False,False,False,False,0.0,8007.15,0.0,0.0,0.0,0.0,,,,,,,True,True,True,3.0,2.0,7.0,526.0,False,False,False,1,3,12.0,0,False
783,22,Single,Diploma/Certificate,Retired,Nelspruit,Mbombela,Mpumalanga,Urban,2.7,349003.28,True,False,True,False,True,True,7202.69,0.0,18490.21,0.0,1982808.75,353807.08,,,,,,,True,False,False,0.0,0.0,0.0,874.0,False,False,False,4,1,0.0,0,True
784,44,Single,Matric,Informal trader,Mitchells Plain,Cape Town,Western Cape,Township,2.8,45459.1,False,True,False,True,False,False,0.0,2727.33,0.0,140523.66,1076.57,0.0,,,,,,,False,True,True,0.0,2.0,5.0,463.0,True,False,False,2,2,7.0,0,False
785,41,Single,Bachelor's,Full-time employed,Mamelodi,Tshwane,Gauteng,Township,1.4,391368.66,False,False,True,False,True,True,0.0,0.0,50366.73,0.0,1164434.47,392578.64,,,,,,,False,False,False,0.0,0.0,0.0,827.0,False,False,False,3,0,0.0,0,False
786,57,Single,Bachelor's,Self-employed,Soweto,Johannesburg,Gauteng,Township,1.7,77012.81,False,False,True,True,False,False,0.0,0.0,11244.2,124729.69,0.0,0.0,,,,,,,True,True,True,5.0,4.0,6.0,707.0,False,False,False,2,3,15.0,0,False
787,22,Single,Bachelor's,Self-employed,Hillcrest,Durban,KwaZulu-Natal,Suburban,6.8,160812.46,True,True,True,False,False,False,3415.47,21030.19,9571.49,0.0,0.0,0.0,,,,,,,True,True,False,2.0,3.0,0.0,464.0,False,False,False,3,2,5.0,0,False
788,28,Single,Less than matric,Unemployed,Green Point,Cape Town,Western Cape,Urban,2.3,42591.82,True,False,False,True,True,False,851.09,0.0,0.0,39574.12,209952.19,0.0,,,,,,,True,False,False,3.0,0.0,0.0,537.0,False,False,False,3,1,3.0,0,False
789,71,Single,Less than matric,Unemployed,Walmer,Gqeberha,Eastern Cape,Suburban,12.4,12229.22,False,True,False,False,False,True,0.0,764.37,0.0,0.0,0.0,278919.69,,,,,,,True,True,False,0.0,4.0,0.0,534.0,False,False,False,2,2,4.0,0,False
790,46,Single,Bachelor's,Full-time employed,Glenwood,Durban,KwaZulu-Natal,Urban,2.7,180810.48,True,True,False,False,True,True,3928.56,21382.5,0.0,0.0,477688.36,289868.47,,,,,,,True,False,True,4.0,0.0,0.0,550.0,False,False,False,4,2,4.0,0,False
791,37,Single,Matric,Full-time employed,Glenwood,Durban,KwaZulu-Natal,Urban,2.6,398156.06,True,True,True,True,True,False,6046.06,44554.32,55553.68,53280.0,2517244.12,0.0,,,,,,,True,True,True,15.0,18.0,3.0,520.0,False,False,False,5,3,36.0,0,False
792,43,Single,Diploma/Certificate,Full-time employed,Langenhoven Park,Bloemfontein,Free State,Suburban,5.5,225869.85,True,True,True,False,False,True,3110.88,29559.28,18440.9,0.0,0.0,553782.64,,,,,,,True,False,True,7.0,0.0,3.0,517.0,False,False,False,4,2,10.0,0,False
793,42,Married,Matric,Full-time employed,Walmer,Gqeberha,Eastern Cape,Suburban,3.8,429621.24,True,True,True,False,False,False,6916.29,55364.35,48306.09,0.0,0.0,0.0,,,,,,,True,True,False,5.0,9.0,0.0,846.0,False,False,False,3,2,14.0,0,False
794,49,Single,Matric,Self-employed,Walmer,Gqeberha,Eastern Cape,Suburban,6.9,31007.93,False,True,False,False,False,False,0.0,3042.1,0.0,0.0,0.0,0.0,,,,,,,False,False,True,0.0,0.0,0.0,481.0,False,False,False,1,1,0.0,0,True
795,26,Single,Matric,Retired,Mamelodi,Tshwane,Gauteng,Township,3.9,114725.12,True,True,False,False,False,False,1838.1,10689.65,0.0,0.0,0.0,0.0,,,2021-07-22,,,,True,True,True,0.0,3.0,9.0,786.0,False,False,False,2,3,12.0,1,False
796,23,Single,Matric,Unemployed,Khayelitsha,Cape Town,Western Cape,Township,1.0,21680.29,True,False,False,True,False,False,292.73,0.0,0.0,84082.97,0.0,0.0,,,,,,2022-12-29,False,False,True,0.0,0.0,5.0,633.0,False,False,False,2,1,5.0,1,False
797,25,Single,Matric,Full-time employed,Mahikeng CBD,Mahikeng,North West,Urban,3.5,164357.78,True,True,False,True,False,True,3428.86,21798.97,0.0,27767.47,0.0,735924.49,,,,,,,True,True,False,3.0,3.0,0.0,317.0,False,False,False,4,2,6.0,0,False
798,44,Married,Matric,Unemployed,Khayelitsha,Cape Town,Western Cape,Township,1.0,6578.98,False,True,False,True,False,True,0.0,582.88,0.0,80801.86,0.0,470303.76,,,,,,,True,True,False,0.0,0.0,0.0,501.0,False,False,False,3,2,0.0,0,True
799,21,Single,Matric,Full-time employed,Nelspruit,Mbombela,Mpumalanga,Urban,2.8,214107.4,True,True,False,True,False,False,4435.24,15636.68,0.0,144522.22,0.0,0.0,,,2024-10-28,,,2021-01-15,True,True,False,8.0,8.0,0.0,396.0,False,False,False,3,2,16.0,2,False
800,42,Married,Matric,Full-time employed,Green Point,Cape Town,Western Cape,Urban,4.8,251828.805,True,True,True,True,True,False,1741.29,12505.46,19038.57,30546.85,,0.0,,,,,,,True,True,False,5.0,11.0,0.0,601.0,True,False,False,5,2,16.0,0,False
801,50,Single,Diploma/Certificate,Self-employed,Glenwood,Durban,KwaZulu-Natal,Urban,4.3,144826.73,True,False,True,False,True,True,2191.76,0.0,11784.88,0.0,316726.75,630142.91,,,,,,,True,True,False,4.0,12.0,0.0,666.0,False,False,False,4,2,16.0,0,False
802,45,Married,Bachelor's,Full-time employed,Newlands,Cape Town,Western Cape,Suburban,9.2,264006.17,True,True,False,False,False,False,4638.33,34368.17,0.0,0.0,0.0,0.0,,,,,,,False,False,False,0.0,0.0,0.0,,False,False,False,2,0,0.0,0,False
803,24,Single,Matric,Self-employed,Umlazi,Durban,KwaZulu-Natal,Township,3.7,162708.48,False,False,True,True,False,False,0.0,0.0,7265.48,105599.52,0.0,0.0,2023-09-08,,,,,,False,False,True,0.0,0.0,1.0,399.0,False,False,False,2,1,1.0,1,False
804,60,Married,Matric,Part-time employed,Botshabelo,Bloemfontein,Free State,Township,7.2,27724.71,False,False,False,True,False,False,0.0,0.0,0.0,150922.8,0.0,0.0,,,,,,,False,False,True,0.0,0.0,4.0,421.0,False,False,False,1,1,4.0,0,False
805,50,Married,Less than matric,Full-time employed,Newlands,Cape Town,Western Cape,Suburban,10.4,252098.03,True,True,False,False,True,False,4267.86,34210.93,0.0,0.0,1960143.16,0.0,,,,,,,False,True,False,0.0,3.0,0.0,620.0,False,False,False,3,1,3.0,0,False
806,42,Married,Less than matric,Full-time employed,Newlands,Cape Town,Western Cape,Suburban,3.5,348355.03,True,False,True,False,False,False,6458.93,0.0,3316.27,0.0,0.0,0.0,,,,,,,False,False,False,0.0,0.0,0.0,518.0,False,False,False,2,0,0.0,0,False
807,43,Married,Bachelor's,Full-time employed,Fourways,Johannesburg,Gauteng,Suburban,2.1,315807.1,True,True,True,False,False,True,4489.57,36603.08,18066.05,0.0,0.0,652879.13,,,,,,,True,True,False,0.0,4.0,0.0,556.0,False,False,False,4,2,4.0,0,False
808,37,Single,Bachelor's,Full-time employed,Glenwood,Durban,KwaZulu-Natal,Urban,4.0,235780.41,True,True,True,False,False,True,3958.96,11178.61,34395.59,0.0,0.0,261122.07,,,,,,,True,True,False,11.0,0.0,0.0,871.0,False,False,False,4,2,11.0,0,False
809,37,Single,Diploma/Certificate,Self-employed,Soweto,Johannesburg,Gauteng,Township,4.6,279987.28,True,True,True,False,True,True,4892.26,25855.73,12302.12,0.0,2108062.8,292695.68,,,,,,,True,True,True,0.0,9.0,4.0,678.0,False,False,False,5,3,13.0,0,False
810,52,Single,Bachelor's,Retired,Langenhoven Park,Bloemfontein,Free State,Suburban,2.2,271072.58,True,True,True,True,False,True,4453.1,19480.04,10948.61,71264.51,0.0,141136.33,,,,,,,True,True,False,0.0,12.0,0.0,773.0,False,False,False,5,2,12.0,0,False
811,22,Married,Bachelor's,Full-time employed,Green Point,Cape Town,Western Cape,Urban,3.7,155803.92,True,True,False,False,False,False,3483.64,19818.63,0.0,0.0,0.0,0.0,,,,,,,True,False,True,11.0,0.0,0.0,,False,False,False,2,2,11.0,0,False
812,39,Single,Diploma/Certificate,Full-time employed,Alexandra,Johannesburg,Gauteng,Township,0.8,410209.25,False,False,True,False,False,False,0.0,0.0,53467.38,0.0,0.0,0.0,,,,,,,True,True,False,3.0,5.0,0.0,831.0,False,False,False,1,2,8.0,0,False
813,33,Single,Diploma/Certificate,Full-time employed,Nelspruit,Mbombela,Mpumalanga,Urban,3.0,233506.93,False,True,True,False,True,False,0.0,28984.56,24417.87,0.0,484405.19,0.0,,,,,,,True,True,True,3.0,14.0,3.0,367.0,False,False,False,3,3,20.0,0,False
814,67,Married,Matric,Full-time employed,Walmer,Gqeberha,Eastern Cape,Suburban,3.6,126744.08,True,True,False,False,False,False,2111.93,16801.91,361.24,0.0,0.0,0.0,,,,,,,False,False,True,0.0,0.0,1.0,514.0,True,False,False,2,1,1.0,0,False
815,29,Single,Matric,Full-time employed,Soweto,Johannesburg,Gauteng,Township,0.5,14211.84,False,False,False,True,False,False,0.0,0.0,0.0,33822.16,0.0,0.0,,,,,,,False,True,False,0.0,1.0,0.0,524.0,False,False,False,1,1,1.0,0,False
816,47,Single,Diploma/Certificate,Unemployed,Nelspruit,Mbombela,Mpumalanga,Urban,3.0,6831.77,False,True,True,False,False,False,0.0,413.82,727.94,0.0,0.0,0.0,,,,,,,True,True,False,1.0,6.0,0.0,807.0,False,False,False,2,2,7.0,0,False
817,35,Single,Matric,Full-time employed,Khayelitsha,Cape Town,Western Cape,Township,3.0,104229.29,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,False,False,False,0.0,0.0,0.0,269.0,False,False,True,0,0,0.0,0,False
818,50,Single,Matric,Informal trader,Soweto,Johannesburg,Gauteng,Township,8.8,148536.09,True,False,True,True,False,False,2608.04,0.0,17121.67,97654.89,0.0,0.0,,,,,,,True,True,False,2.0,8.0,0.0,786.0,False,False,False,3,2,10.0,0,False
819,27,Married,Less than matric,Self-employed,Fourways,Johannesburg,Gauteng,Suburban,2.2,180177.54,False,True,True,False,False,True,0.0,11779.29,14057.13,0.0,0.0,482568.17,,,,,,,False,True,False,0.0,4.0,0.0,563.0,False,False,False,3,1,4.0,0,False
821,23,Single,Matric,Retired,Soweto,Johannesburg,Gauteng,Township,3.5,86869.12,False,True,False,True,False,False,0.0,10053.2,0.0,171902.47,0.0,0.0,,,,,,,False,False,True,0.0,0.0,5.0,427.0,False,False,False,2,1,5.0,0,False
822,30,Married,Matric,Full-time employed,Soweto,Johannesburg,Gauteng,Township,3.0,176749.06,True,True,True,False,True,True,3188.22,20917.01,22115.07,0.0,581678.01,850000.0,,,,,,,True,True,True,3.0,6.0,0.0,551.0,False,False,False,5,3,9.0,0,False
823,41,Single,Matric,Self-employed,Mamelodi,Tshwane,Gauteng,Township,2.2,205048.08,False,False,False,False,False,True,0.0,0.0,0.0,0.0,0.0,670197.92,,,,,,,False,True,False,0.0,4.0,0.0,549.0,False,False,False,1,1,4.0,0,False
824,54,Single,Less than matric,Full-time employed,Tembisa,Ekurhuleni,Gauteng,Township,14.4,579075.82,True,False,True,False,False,False,11596.39,0.0,53579.02,0.0,0.0,0.0,,,,,,,True,True,False,6.0,2.0,0.0,871.0,False,False,False,2,2,8.0,0,False
825,29,Single,Matric,Unemployed,Mdantsane,East London,Eastern Cape,Township,4.6,10949.46,False,False,False,True,False,False,0.0,0.0,0.0,24612.04,0.0,0.0,,,,,,,False,True,True,0.0,3.0,7.0,441.0,False,False,False,1,2,10.0,0,False
826,56,Married,Diploma/Certificate,Full-time employed,Mdantsane,East London,Eastern Cape,Township,6.6,375947.33,True,True,True,False,True,False,6383.29,31515.02,58785.72,0.0,1325875.65,0.0,,,,,,2023-02-05,True,True,False,5.0,12.0,0.0,601.0,False,False,False,4,2,17.0,1,False
827,54,Married,Diploma/Certificate,Retired,Umhlanga,Durban,KwaZulu-Natal,Urban,2.4,59703.91,True,True,True,False,False,False,1052.18,4281.8,7745.17,0.0,0.0,0.0,,,,,,,True,True,True,5.0,10.0,3.0,594.0,False,False,False,3,3,18.0,0,False
828,46,Single,Matric,Unemployed,Motherwell,Gqeberha,Eastern Cape,Township,4.1,5044.48,False,False,False,True,False,False,0.0,0.0,0.0,97659.21,0.0,0.0,,,,,,,False,False,True,0.0,0.0,4.0,209.0,False,False,False,1,1,4.0,0,False
829,19,Single,Bachelor's,Full-time employed,Rosebank,Johannesburg,Gauteng,Urban,1.7,247801.67,True,True,True,False,False,False,3967.79,17654.82,2671.46,0.0,731.06,0.0,,,,,,,True,True,False,4.0,12.0,0.0,493.0,True,False,False,3,2,16.0,0,False
830,61,Single,Diploma/Certificate,Full-time employed,Soweto,Johannesburg,Gauteng,Township,11.8,57968.45,True,True,False,False,False,False,1097.63,6832.47,0.0,0.0,0.0,0.0,,,,,,,True,False,True,3.0,0.0,1.0,,False,False,False,2,2,4.0,0,False
831,18,Single,Less than matric,Informal trader,Waterfront,Cape Town,Western Cape,Urban,2.3,89074.84,False,True,True,False,False,False,0.0,6962.98,8402.51,0.0,0.0,0.0,,,,,,,True,True,False,7.0,18.0,0.0,767.0,False,False,False,2,2,25.0,0,False
832,22,Single,Less than matric,Part-time employed,Sandton,Johannesburg,Gauteng,Urban,4.1,79327.4,True,False,True,False,False,False,1685.24,0.0,1113.74,0.0,0.0,0.0,,,,,,,False,False,True,0.0,0.0,0.0,673.0,False,False,False,2,1,0.0,0,True
833,32,Single,Less than matric,Unemployed,Mdantsane,East London,Eastern Cape,Township,5.9,31787.49,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,,,2024-08-21,,,,True,False,False,3.0,0.0,0.0,527.0,False,False,True,0,1,3.0,1,False
834,67,Married,Matric,Full-time employed,Fourways,Johannesburg,Gauteng,Suburban,3.3,220139.7,True,False,True,False,False,True,2088.38,0.0,21141.22,0.0,0.0,296284.02,,,,,,,True,True,True,6.0,4.0,2.0,829.0,False,False,False,3,3,12.0,0,False
835,25,Single,Matric,Full-time employed,Mamelodi,Tshwane,Gauteng,Township,1.9,242129.88,True,True,True,True,False,False,,16581.09,45634.04,42326.84,0.0,0.0,,,,,,,False,True,True,0.0,6.0,7.0,784.0,True,False,False,4,2,13.0,0,False
836,29,Single,Matric,Self-employed,Fourways,Johannesburg,Gauteng,Suburban,6.7,57548.21,True,True,True,True,False,True,1165.82,7122.61,3791.47,20370.92,0.0,239013.48,,,,,,,True,True,False,5.0,4.0,0.0,663.0,False,False,False,5,2,9.0,0,False
837,49,Single,Matric,Full-time employed,Mahikeng CBD,Mahikeng,North West,Urban,6.7,108751.22,True,True,False,False,False,False,1875.51,9302.93,0.0,0.0,0.0,0.0,,,,,,,True,False,False,7.0,0.0,0.0,577.0,False,False,False,2,1,7.0,0,False
838,54,Married,Diploma/Certificate,Unemployed,Rosebank,Johannesburg,Gauteng,Urban,12.8,11363.95,True,True,True,True,True,True,251.42,1062.51,458.93,140158.62,1309247.05,364357.91,,,,,,,True,False,False,1.0,0.0,0.0,463.0,False,False,False,6,1,1.0,0,False
839,27,Divorced,Matric,Informal trader,Hillcrest,Durban,KwaZulu-Natal,Suburban,1.6,41203.51,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,False,True,False,0.0,0.0,0.0,322.0,False,False,True,0,1,0.0,0,True
840,39,Married,Matric,Unemployed,Unknown,Johannesburg,Gauteng,Township,3.3,20046.14,False,False,False,False,True,False,0.0,0.0,0.0,0.0,407556.09,0.0,,,,2021-03-08,,,False,False,False,0.0,0.0,0.0,625.0,False,False,False,1,0,0.0,1,False
841,24,Single,Matric,Self-employed,Mamelodi,Tshwane,Gauteng,Township,6.3,14464.48,True,False,True,True,False,True,258.02,0.0,3065.13,139012.77,0.0,247431.71,,,,,,,False,False,True,0.0,0.0,0.0,516.0,False,False,False,4,1,0.0,0,True
842,18,Married,Matric,Full-time employed,Mitchells Plain,Cape Town,Western Cape,Township,3.1,509636.89,False,True,True,False,False,False,0.0,30833.2,47694.45,0.0,0.0,0.0,,,,,,,False,False,True,0.0,0.0,6.0,613.0,False,False,False,2,1,6.0,0,False
843,33,Married,Less than matric,Unemployed,Alexandra,Johannesburg,Gauteng,Township,2.7,26153.38,False,True,False,True,False,False,0.0,1957.3,0.0,51588.23,0.0,0.0,,,,,,,False,True,False,0.0,1.0,0.0,610.0,False,False,False,2,1,1.0,0,False
844,48,Single,Matric,Unemployed,Mdantsane,East London,Eastern Cape,Township,7.7,18588.8,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,305.9,,2023-10-05,,,,,False,False,False,0.0,0.0,0.0,365.0,True,False,True,0,0,0.0,1,False
845,75,Married,Bachelor's,Full-time employed,Umlazi,Durban,KwaZulu-Natal,Township,10.3,205834.84,True,True,True,False,True,False,3982.22,18787.15,38541.41,0.0,1528831.94,0.0,,,,,,,True,True,True,0.0,5.0,6.0,811.0,False,False,False,4,3,11.0,0,False
846,54,Married,Bachelor's,Informal trader,Tlhabane,Rustenburg,North West,Township,2.6,229236.85,False,True,False,True,False,False,0.0,22347.96,0.0,67274.68,0.0,0.0,,,,,,,False,False,False,0.0,0.0,0.0,531.0,False,False,False,2,0,0.0,0,False
847,21,Single,Less than matric,Informal trader,Botshabelo,Bloemfontein,Free State,Township,0.7,16188.06,False,False,False,True,False,False,0.0,0.0,0.0,51708.36,0.0,0.0,,,,,,,True,True,True,3.0,0.0,8.0,326.0,False,False,False,1,3,11.0,0,False
848,57,Single,Bachelor's,Part-time employed,Fourways,Johannesburg,Gauteng,Suburban,6.6,68651.34,True,True,False,True,False,False,1059.89,6000.8,0.0,150721.18,0.0,0.0,,,,,,,False,True,True,0.0,0.0,1.0,436.0,False,False,False,3,2,1.0,0,False
849,56,Single,Bachelor's,Student,Mdantsane,East London,Eastern Cape,Township,11.5,18417.22,True,False,False,True,False,False,341.07,0.0,0.0,26206.83,0.0,0.0,,,,,,,True,True,True,3.0,5.0,8.0,895.0,False,False,False,2,3,16.0,0,False
850,24,Single,Diploma/Certificate,Unemployed,Khayelitsha,Cape Town,Western Cape,Township,1.0,28187.59,False,True,False,True,False,False,0.0,1921.1,0.0,148270.7,0.0,0.0,2021-06-09,,,,,2021-05-06,True,True,True,2.0,3.0,3.0,645.0,False,False,False,2,3,8.0,2,False
851,30,Married,Less than matric,Full-time employed,Tembisa,Ekurhuleni,Gauteng,Township,3.9,159706.87,True,False,True,False,False,True,2290.68,0.0,39101.33,0.0,0.0,273720.61,,,,,,,True,True,True,3.0,0.0,3.0,678.0,False,False,False,3,3,6.0,0,False
852,34,Single,Matric,Self-employed,Mitchells Plain,Cape Town,Western Cape,Township,6.4,580467.8,False,True,True,True,False,True,0.0,54117.04,37404.15,31161.96,0.0,291781.39,,,,,,,True,False,True,0.0,0.0,7.0,644.0,False,False,False,4,2,7.0,0,False
853,30,Single,Bachelor's,Unemployed,Newlands,Cape Town,Western Cape,Suburban,2.3,51004.32,False,True,True,False,False,False,0.0,6281.43,2154.98,0.0,0.0,0.0,,,,,,,True,True,False,0.0,6.0,0.0,583.0,False,False,False,2,2,6.0,0,False
854,41,Single,Matric,Unemployed,Sandton,Johannesburg,Gauteng,Urban,7.9,3053.88,True,False,False,True,True,False,53.36,0.0,0.0,122185.52,1265440.6,0.0,,,,,,,True,True,False,0.0,3.0,0.0,652.0,False,False,False,3,2,3.0,0,False
855,41,Single,Diploma/Certificate,Retired,Rosebank,Johannesburg,Gauteng,Urban,2.6,60483.71,False,True,True,False,False,False,0.0,7982.26,3740.68,0.0,0.0,0.0,,,,,,,True,False,False,1.0,0.0,0.0,761.0,False,False,False,2,1,1.0,0,False
856,40,Married,Less than matric,Self-employed,Sandton,Johannesburg,Gauteng,Urban,5.3,176828.77,True,True,True,False,False,False,3782.38,14436.48,12466.64,0.0,0.0,0.0,,,,,,,True,True,False,7.0,17.0,0.0,683.0,False,False,False,3,2,24.0,0,False
857,40,Divorced,Diploma/Certificate,Self-employed,Tlhabane,Rustenburg,North West,Township,0.2,143268.99,True,False,True,False,True,True,2321.33,0.0,13115.46,0.0,1750683.42,76992.2,,,,,,,True,True,False,5.0,16.0,0.0,581.0,False,False,False,4,2,21.0,0,False
858,30,Single,Bachelor's,Unemployed,Mahikeng CBD,Mahikeng,North West,Urban,4.3,53594.24,True,False,False,False,False,False,1047.99,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,False,7.0,16.0,0.0,257.0,False,False,False,1,2,23.0,0,False
859,38,Divorced,Matric,Informal trader,Newlands,Cape Town,Western Cape,Suburban,1.7,711161.12,False,False,False,True,False,False,0.0,0.0,0.0,29663.74,0.0,0.0,,,,,,,False,False,False,0.0,0.0,0.0,418.0,False,False,False,1,0,0.0,0,False
860,18,Single,Matric,Full-time employed,Nelspruit,Mbombela,Mpumalanga,Urban,1.4,380650.12,True,False,True,False,False,False,6614.74,0.0,23525.66,0.0,0.0,0.0,,2023-01-30,,,,,True,True,True,8.0,13.0,1.0,759.0,False,False,False,2,3,22.0,1,False
861,28,Single,Bachelor's,Unemployed,Fourways,Johannesburg,Gauteng,Suburban,5.1,10100.16,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,False,False,False,0.0,0.0,0.0,242.0,False,False,True,0,0,0.0,0,False
862,53,Single,Matric,Self-employed,Hillcrest,Durban,KwaZulu-Natal,Suburban,2.2,199849.03,True,True,False,False,True,False,3081.94,21401.77,0.0,0.0,1253357.4,0.0,,,,,,,False,True,False,0.0,3.0,0.0,522.0,False,False,False,3,1,3.0,0,False
863,64,Married,Matric,Unemployed,Centurion,Tshwane,Gauteng,Suburban,5.6,21984.19,False,True,True,False,False,True,0.0,2524.77,2093.26,0.0,0.0,592942.99,,,,,,,True,True,False,3.0,0.0,0.0,832.0,False,False,False,3,2,3.0,0,False
864,67,Married,Matric,Self-employed,Umhlanga,Durban,KwaZulu-Natal,Urban,10.6,131488.23,True,True,True,True,False,True,2107.07,10693.06,4383.62,96550.58,0.0,772005.99,,,,,,,True,True,True,11.0,5.0,3.0,883.0,False,False,False,5,3,19.0,0,False
865,36,Single,Bachelor's,Unemployed,Rosebank,Johannesburg,Gauteng,Urban,2.8,28722.96,True,False,False,True,False,False,565.07,0.0,0.0,56401.34,0.0,0.0,,,,,,,False,True,False,0.0,7.0,0.0,515.0,False,False,False,2,1,7.0,0,False
866,23,Married,Matric,Full-time employed,Newlands,Cape Town,Western Cape,Suburban,1.4,390988.7,False,True,True,True,True,True,0.0,38732.59,31426.36,123864.14,1866633.62,850000.0,,,,,,,False,True,False,0.0,6.0,0.0,803.0,False,False,False,5,1,6.0,0,False
867,18,Single,Less than matric,Full-time employed,Soweto,Johannesburg,Gauteng,Township,1.5,337663.46,False,True,False,False,False,True,0.0,32234.6,0.0,0.0,0.0,440408.94,,,,,,,True,False,False,3.0,0.0,0.0,568.0,False,False,False,2,1,3.0,0,False
868,39,Single,Matric,Unemployed,Glenwood,Durban,KwaZulu-Natal,Urban,3.2,27259.31,True,True,True,True,True,False,379.94,2714.05,606.99,85763.96,306785.6,0.0,,,,,,,True,True,False,1.0,9.0,0.0,609.0,False,False,False,5,2,10.0,0,False
869,59,Single,Bachelor's,Full-time employed,Umlazi,Durban,KwaZulu-Natal,Township,3.8,358562.36,True,True,True,False,False,False,4845.13,33174.81,26038.78,0.0,0.0,0.0,,,,,,,False,True,False,0.0,16.0,0.0,828.0,False,False,False,3,1,16.0,0,False
870,28,Single,Less than matric,Informal trader,Hillcrest,Durban,KwaZulu-Natal,Suburban,3.8,41782.09,True,False,False,False,False,False,681.49,0.0,0.0,0.0,0.0,0.0,,,,,2021-01-29,,True,True,False,2.0,0.0,0.0,571.0,False,False,False,1,2,2.0,1,False
871,51,Single,Matric,Unemployed,Fourways,Johannesburg,Gauteng,Suburban,5.8,41236.67,False,True,False,False,True,False,0.0,4552.21,0.0,0.0,1621637.82,0.0,,,2024-04-30,,,,False,False,False,0.0,0.0,0.0,646.0,False,False,False,2,0,0.0,1,False
872,31,Single,Diploma/Certificate,Self-employed,Hillcrest,Durban,KwaZulu-Natal,Suburban,5.1,131608.93,True,True,True,False,True,True,2075.16,7747.72,12924.69,0.0,2228238.16,691917.73,,,,,,,True,True,False,2.0,5.0,0.0,629.0,False,False,False,5,2,7.0,0,False
873,48,Single,Matric,Full-time employed,Green Point,Cape Town,Western Cape,Urban,11.0,7168.97,False,False,False,True,False,False,0.0,0.0,0.0,214654.08,0.0,0.0,,,,,,,False,False,False,0.0,0.0,0.0,468.0,False,False,False,1,0,0.0,0,False
874,24,Single,Matric,Unemployed,Mitchells Plain,Cape Town,Western Cape,Township,2.3,74886.55,True,False,False,True,False,False,1063.61,0.0,0.0,132011.63,0.0,0.0,,,,,,,True,True,False,8.0,0.0,0.0,437.0,False,False,False,2,2,8.0,0,False
875,67,Single,Matric,Full-time employed,Soweto,Johannesburg,Gauteng,Township,3.9,147924.29,False,False,False,True,False,False,0.0,0.0,0.0,131144.92,0.0,0.0,,,,,,,False,False,True,0.0,0.0,2.0,595.0,False,False,False,1,1,2.0,0,False
876,28,Single,Bachelor's,Full-time employed,Green Point,Cape Town,Western Cape,Urban,0.4,243182.58,True,True,True,False,True,False,4792.78,29154.77,15253.87,0.0,2514801.11,0.0,,,,,,,True,False,False,5.0,0.0,0.0,390.0,False,False,False,4,1,5.0,0,False
877,43,Married,Matric,Student,Glenwood,Durban,KwaZulu-Natal,Urban,4.3,9279.75,True,False,True,False,False,False,132.14,0.0,416.97,0.0,0.0,0.0,,,,,,,True,True,True,1.0,1.0,2.0,702.0,False,False,False,2,3,4.0,0,False
878,61,Married,Matric,Full-time employed,Fourways,Johannesburg,Gauteng,Suburban,8.2,149797.37,True,True,True,False,False,False,1996.73,21109.89,3913.74,0.0,0.0,0.0,,,,,,,True,True,False,2.0,4.0,0.0,653.0,False,False,False,3,2,6.0,0,False
879,49,Single,Diploma/Certificate,Full-time employed,Alexandra,Johannesburg,Gauteng,Township,11.3,166196.56,True,True,True,False,False,False,2279.49,13897.12,32864.86,0.0,0.0,0.0,,,,,,,True,True,False,3.0,2.0,0.0,374.0,False,False,False,3,2,5.0,0,False
880,32,Single,Less than matric,Unemployed,Mamelodi,Tshwane,Gauteng,Township,1.7,8975.97,True,False,False,False,False,False,110.97,0.0,0.0,0.0,0.0,0.0,,,,,,,False,True,True,0.0,0.0,0.0,236.0,False,False,False,1,2,0.0,0,True
